chr	start	end
chr1	79070000	79080000
chr1	79080000	79090000
chr1	79110000	79120000
chr1	79120000	79130000
chr1	79310000	79320000
chr1	79980000	79990000
chr1	79990000	80000000
chr1	80140000	80150000
chr1	80150000	80160000
chr1	80500000	80510000
chr1	80590000	80600000
chr1	80600000	80610000
chr1	80780000	80790000
chr1	80940000	80950000
chr1	81240000	81250000
chr1	81440000	81450000
chr1	81680000	81690000
chr1	81710000	81720000
chr1	81740000	81750000
chr1	81870000	81880000
chr1	82140000	82150000
chr1	82480000	82490000
chr1	82490000	82500000
chr1	82720000	82730000
chr1	82820000	82830000
chr1	82830000	82840000
chr1	83140000	83150000
chr1	83800000	83810000
chr1	83810000	83820000
chr1	83820000	83830000
chr1	83820000	83830000
chr1	83830000	83840000
chr1	83840000	83850000
chr1	83850000	83860000
chr1	84010000	84020000
chr1	84020000	84030000
chr1	84080000	84090000
chr1	84090000	84100000
chr1	84100000	84110000
chr1	84100000	84110000
chr1	84110000	84120000
chr1	84120000	84130000
chr1	84130000	84140000
chr1	84140000	84150000
chr1	84400000	84410000
chr1	84500000	84510000
chr1	84590000	84600000
chr1	84610000	84620000
chr1	84620000	84630000
chr1	84630000	84640000
chr1	84640000	84650000
chr1	84650000	84660000
chr1	84660000	84670000
chr1	84670000	84680000
chr1	84680000	84690000
chr1	84690000	84700000
chr1	84850000	84860000
chr1	84860000	84870000
chr1	84920000	84930000
chr1	84990000	85000000
chr1	85000000	85010000
chr1	85240000	85250000
chr1	85510000	85520000
chr1	85540000	85550000
chr1	85550000	85560000
chr1	85630000	85640000
chr1	85720000	85730000
chr1	85730000	85740000
chr1	85870000	85880000
chr1	85880000	85890000
chr1	85890000	85900000
chr1	85900000	85910000
chr1	85910000	85920000
chr1	85920000	85930000
chr1	85920000	85930000
chr1	85930000	85940000
chr1	85940000	85950000
chr1	85960000	85970000
chr1	85970000	85980000
chr1	85970000	85980000
chr1	85980000	85990000
chr1	85990000	86000000
chr1	86000000	86010000
chr1	86070000	86080000
chr1	86100000	86110000
chr1	86430000	86440000
chr1	86440000	86450000
chr1	86520000	86530000
chr1	86530000	86540000
chr1	86540000	86550000
chr1	86550000	86560000
chr1	86610000	86620000
chr1	86620000	86630000
chr1	86740000	86750000
chr1	86750000	86760000
chr1	86760000	86770000
chr1	86770000	86780000
chr1	86880000	86890000
chr1	86900000	86910000
chr1	86910000	86920000
chr1	86920000	86930000
chr1	87050000	87060000
chr1	87060000	87070000
chr1	87120000	87130000
chr1	87130000	87140000
chr1	87140000	87150000
chr1	87160000	87170000
chr1	87180000	87190000
chr1	87200000	87210000
chr1	87210000	87220000
chr1	87220000	87230000
chr1	87230000	87240000
chr1	87360000	87370000
chr1	87370000	87380000
chr1	87650000	87660000
chr1	87660000	87670000
chr1	87780000	87790000
chr1	87790000	87800000
chr1	88470000	88480000
chr1	88550000	88560000
chr1	88560000	88570000
chr1	88630000	88640000
chr1	88650000	88660000
chr1	88670000	88680000
chr1	88680000	88690000
chr1	88690000	88700000
chr1	88710000	88720000
chr1	88720000	88730000
chr1	88730000	88740000
chr1	88740000	88750000
chr1	88750000	88760000
chr1	88760000	88770000
chr1	88770000	88780000
chr1	88900000	88910000
chr1	88910000	88920000
chr1	89440000	89450000
chr1	89460000	89470000
chr1	89480000	89490000
chr1	89490000	89500000
chr1	89590000	89600000
chr1	89650000	89660000
chr1	89660000	89670000
chr1	89900000	89910000
chr1	89980000	89990000
chr1	89990000	90000000
chr1	90000000	90010000
chr1	90010000	90020000
chr1	90230000	90240000
chr1	90240000	90250000
chr1	90250000	90260000
chr1	90420000	90430000
chr1	90440000	90450000
chr1	90450000	90460000
chr1	90640000	90650000
chr1	90650000	90660000
chr1	90660000	90670000
chr1	90800000	90810000
chr1	90980000	90990000
chr1	90990000	91000000
chr1	91000000	91010000
chr1	91210000	91220000
chr1	91440000	91450000
chr1	91520000	91530000
chr1	91530000	91540000
chr1	91680000	91690000
chr1	91690000	91700000
chr1	91720000	91730000
chr1	91730000	91740000
chr1	91790000	91800000
chr1	91990000	92000000
chr1	92000000	92010000
chr1	92010000	92020000
chr1	92210000	92220000
chr1	92230000	92240000
chr1	92430000	92440000
chr1	92540000	92550000
chr1	92590000	92600000
chr1	92600000	92610000
chr1	92610000	92620000
chr1	92650000	92660000
chr1	92660000	92670000
chr1	92670000	92680000
chr1	92840000	92850000
chr1	92850000	92860000
chr1	92860000	92870000
chr1	92880000	92890000
chr1	92890000	92900000
chr1	92900000	92910000
chr1	92910000	92920000
chr1	92920000	92930000
chr1	92930000	92940000
chr1	93050000	93060000
chr1	93060000	93070000
chr1	93080000	93090000
chr1	93090000	93100000
chr1	93110000	93120000
chr1	93400000	93410000
chr1	93450000	93460000
chr1	93460000	93470000
chr1	93470000	93480000
chr1	93480000	93490000
chr1	93490000	93500000
chr1	93500000	93510000
chr1	93500000	93510000
chr1	93510000	93520000
chr1	93530000	93540000
chr1	93550000	93560000
chr1	93560000	93570000
chr1	93570000	93580000
chr1	93650000	93660000
chr1	93810000	93820000
chr1	93820000	93830000
chr1	93840000	93850000
chr1	93920000	93930000
chr1	93930000	93940000
chr1	93930000	93940000
chr1	93940000	93950000
chr1	93940000	93950000
chr1	93950000	93960000
chr1	93990000	94000000
chr1	94000000	94010000
chr1	94150000	94160000
chr1	94160000	94170000
chr1	94170000	94180000
chr1	94410000	94420000
chr1	94420000	94430000
chr1	94430000	94440000
chr1	94570000	94580000
chr1	94630000	94640000
chr1	94640000	94650000
chr1	95050000	95060000
chr1	95060000	95070000
chr1	95080000	95090000
chr1	95160000	95170000
chr1	95180000	95190000
chr1	95270000	95280000
chr1	95330000	95340000
chr1	95960000	95970000
chr1	96050000	96060000
chr1	96220000	96230000
chr1	96230000	96240000
chr1	96240000	96250000
chr1	96250000	96260000
chr1	96270000	96280000
chr1	96280000	96290000
chr1	96290000	96300000
chr1	96300000	96310000
chr1	96320000	96330000
chr1	96330000	96340000
chr1	96330000	96340000
chr1	96340000	96350000
chr1	96350000	96360000
chr1	96360000	96370000
chr1	96380000	96390000
chr1	96400000	96410000
chr1	96410000	96420000
chr1	96530000	96540000
chr1	96660000	96670000
chr1	96670000	96680000
chr1	96730000	96740000
chr1	96740000	96750000
chr1	96750000	96760000
chr1	96760000	96770000
chr1	96770000	96780000
chr1	96850000	96860000
chr1	96860000	96870000
chr1	96880000	96890000
chr1	97020000	97030000
chr1	97030000	97040000
chr1	97040000	97050000
chr1	97100000	97110000
chr1	97110000	97120000
chr1	97120000	97130000
chr1	97140000	97150000
chr1	97310000	97320000
chr1	97320000	97330000
chr1	97330000	97340000
chr1	97340000	97350000
chr1	97350000	97360000
chr1	97360000	97370000
chr1	97370000	97380000
chr1	97390000	97400000
chr1	97400000	97410000
chr1	97690000	97700000
chr1	97700000	97710000
chr1	97710000	97720000
chr1	97780000	97790000
chr1	97790000	97800000
chr1	97860000	97870000
chr1	97930000	97940000
chr1	97940000	97950000
chr1	97950000	97960000
chr1	97960000	97970000
chr1	98110000	98120000
chr1	98150000	98160000
chr1	98190000	98200000
chr1	98200000	98210000
chr1	98210000	98220000
chr1	98210000	98220000
chr1	98220000	98230000
chr1	98220000	98230000
chr1	98230000	98240000
chr1	98230000	98240000
chr1	98240000	98250000
chr1	98250000	98260000
chr1	98280000	98290000
chr1	98290000	98300000
chr1	98300000	98310000
chr1	98310000	98320000
chr1	98320000	98330000
chr1	98590000	98600000
chr1	98630000	98640000
chr1	98780000	98790000
chr1	99280000	99290000
chr1	99300000	99310000
chr1	99310000	99320000
chr1	99620000	99630000
chr1	100020000	100030000
chr1	100030000	100040000
chr1	100560000	100570000
chr1	100570000	100580000
